Time,200-A-Real,200-B-Real,200-A-Reactive,200-B-Reactive,100-A-Real,100-B-Real,100-C-Real,100-A-Reactive,100-B-Reactive,100-C-Reactive,5-A-Real,5-B-Real,5-C-Real,5-A-Reactive,5-B-Reactive,5-C-Reactive
 14:45:30.276827,Main A Real,Main B Real,Main A Reactive,Main B Reactive,AHU A Real,AHU-B RTU-B Real,RTU A Real,AHU A Reactive,AHU-B RTU-B Reactive,RTU A Reactive,,,,,,
 14:49:19.225415,59.21068573,125.7660751,-290.9216614,205.9573669,0,0,0,0,0,0,"
",,,,,
 14:49:20.304003,59.1229744,126.0637665,-290.7884521,205.4937286,0,0,0,0,0,0,"
",,,,,
 14:49:21.383176,59.21069336,125.1706772,-290.7662659,205.6791687,0,0,0,0,0,0,"
",,,,,
 14:49:22.468080,59.21069336,125.6057739,-290.8772888,205.1691589,0,0,0,0,0,0,"
",,,,,
 14:49:23.536478,59.21069336,124.6897812,-290.8551025,205.0068817,0,0,0,0,0,0,"
",,,,,
 14:49:24.613423,59.03525543,124.9874878,-290.8329163,205.4241638,0,0,0,0,0,0,"
",,,,,
 14:49:25.699525,58.92560577,125.6515732,-290.7662964,205.0996094,0,0,0,0,0,0,"
",,,,,
 14:49:26.781659,58.81595612,125.1706772,-290.8551025,205.4241638,0,0,0,0,0,0,"
",,,,,
 14:49:27.858679,58.68437576,125.9492645,-290.6108704,205.3546143,0,0,0,0,0,0,"
",,,,,
 14:49:28.944801,58.72823334,125.3767853,-290.7440796,205.5632629,0,0,0,0,0,0,"
",,,,,
 14:49:30.13826,58.94752884,125.8347626,-290.6331177,205.0532532,0,0,0,0,0,0,"
",,,,,
 14:49:31.95411,59.07910919,125.491272,-290.6552734,205.401001,0,0,0,0,0,0,"
",,,,,
 14:49:32.178632,59.01332474,125.972168,-290.3444519,204.8446045,0,0,0,0,0,0,"
",,,,,
 14:49:33.252656,59.05718231,125.4454727,-290.6774597,205.2387238,0,0,0,0,0,0,"
",,,,,
